Prefix,Rank_code,Scientific_name,Number_of_fragments,Percentage
Bem_09,P1,unclassified Candidatus Omnitrophota,159,0.00
Bem_09,P,Kiritimatiellota,116,0.00
Bem_09,P1,unclassified Kiritimatiellota,2,0.00
Bem_09,P,Chlamydiota,52,0.00
Bem_09,P,Myxococcota,19282,0.08
Bem_09,P1,Polyangia,7131,0.03
Bem_09,P,Thermodesulfobacteriota,17133,0.07
Bem_09,P,Acidobacteriota,8489,0.03
Bem_09,P1,unclassified Acidobacteriota,4184,0.02
Bem_09,D1,Bacteria incertae sedis,3217,0.01
Bem_09,D2,Bacteria candidate phyla,3217,0.01
Bem_09,D3,Patescibacteria group,863,0.00
Bem_09,D4,Parcubacteria group,769,0.00
Bem_09,P,Candidatus Nomurabacteria,237,0.00
Bem_09,P1,unclassified Candidatus Nomurabacteria,237,0.00
Bem_09,P,Candidatus Moraniibacteriota,208,0.00
Bem_09,P1,unclassified Candidatus Moraniibacteriota,208,0.00
Bem_09,P,Candidatus Nealsonbacteria,80,0.00
Bem_09,P1,unclassified Candidatus Nealsonbacteria,43,0.00
Bem_09,P,Candidatus Kaiserbacteria,69,0.00
Bem_09,P1,unclassified Candidatus Kaiserbacteria,69,0.00
Bem_09,P,Candidatus Falkowbacteria,53,0.00
Bem_09,P1,unclassified Candidatus Falkowbacteria,53,0.00
Bem_09,P,Candidatus Parcubacteria,41,0.00
Bem_09,P1,unclassified Candidatus Parcubacteria,41,0.00
Bem_09,P,Candidatus Uhrbacteria,41,0.00
Bem_09,P1,unclassified Candidatus Uhrbacteria,41,0.00
Bem_09,P,Candidatus Campbellbacteria,14,0.00
Bem_09,P1,unclassified Candidatus Campbellbacteria,14,0.00
Bem_09,D4,Microgenomates group,56,0.00
Bem_09,P,Candidatus Woesebacteria,56,0.00
Bem_09,P1,unclassified Candidatus Woesebacteria,56,0.00
Bem_09,D4,unclassified Patescibacteria group,15,0.00
Bem_09,P,Candidatus Gracilibacteria,10,0.00
Bem_09,P1,unclassified Candidatus Gracilibacteria,10,0.00
Bem_09,P,candidate division WOR-3,605,0.00
Bem_09,P,Candidatus Aminicenantes,371,0.00
Bem_09,P1,unclassified Candidatus Aminicenantes,371,0.00
Bem_09,P,Candidatus Coatesbacteria,365,0.00
Bem_09,P1,unclassified Candidatus Coatesbacteria,365,0.00
Bem_09,P,Candidatus Saccharibacteria,257,0.00
Bem_09,P1,unclassified Candidatus Saccharibacteria,257,0.00
Bem_09,P,Candidatus Peregrinibacteria,229,0.00
Bem_09,P1,unclassified Candidatus Peregrinibacteria,87,0.00
Bem_09,P,Candidatus Bipolaricaulota,212,0.00
Bem_09,P1,unclassified Candidatus Bipolaricaulota,212,0.00
Bem_09,P,Candidatus Eisenbacteria,205,0.00
Bem_09,P1,unclassified Candidatus Eisenbacteria,205,0.00
Bem_09,D3,Candidatus Dojkabacteria,59,0.00
Bem_09,P,Candidatus Poribacteria,2,0.00
Bem_09,P1,environmental samples,2,0.00
Bem_09,D1,unclassified Bacteria,2194,0.01
Bem_09,D1,Nitrospinae/Tectomicrobia group,1865,0.01
Bem_09,P,Nitrospinota,1861,0.01
Bem_09,P,Candidatus Tectomicrobia,4,0.00
Bem_09,D1,delta/epsilon subdivisions,1773,0.01
Bem_09,P,Elusimicrobiota,868,0.00
Bem_09,P1,unclassified Elusimicrobiota,868,0.00
Bem_09,P,Campylobacterota,620,0.00
Bem_09,P,Spirochaetota,559,0.00
Bem_09,P1,unclassified Spirochaetota,54,0.00
Bem_09,P,Synergistota,361,0.00
Bem_09,P1,unclassified Synergistota,361,0.00
Bem_09,P,Calditrichota,275,0.00
Bem_09,P,Bdellovibrionota,107,0.00
Bem_09,P,Aquificota,59,0.00
Bem_09,P1,unclassified Aquificota,46,0.00
Bem_09,D1,environmental samples,58,0.00
Bem_09,P,Thermotogota,34,0.00
Bem_09,P,Fusobacteriota,3,0.00
Bem_09,D,Archaea,186317,0.74
Bem_09,D1,TACK group,184741,0.73
Bem_09,P,Nitrososphaerota,184492,0.73
Bem_09,P1,Nitrososphaerota incertae sedis,10714,0.04
Bem_09,P2,Marine Group I,8220,0.03
Bem_09,P3,environmental samples,262,0.00
Bem_09,P,Candidatus Bathyarchaeota,208,0.00
Bem_09,P1,unclassified Candidatus Bathyarchaeota,204,0.00
Bem_09,P,Thermoproteota,12,0.00
Bem_09,P,Euryarchaeota,1271,0.01
Bem_09,P1,Stenosarchaea group,1180,0.00
Bem_09,P1,unclassified Euryarchaeota,44,0.00
Bem_09,P1,Methanomada group,10,0.00
Bem_09,P,Candidatus Thermoplasmatota,135,0.00
Bem_09,P1,DHVE2 group,5,0.00
Bem_09,D1,Asgard group,45,0.00
Bem_09,P,Candidatus Heimdallarchaeota,19,0.00
Bem_09,P1,unclassified Candidatus Heimdallarchaeota,19,0.00
Bem_09,P,Candidatus Lokiarchaeota,13,0.00
Bem_09,P1,unclassified Candidatus Lokiarchaeota,13,0.00
Bem_09,P,Candidatus Thorarchaeota,13,0.00
Bem_09,P1,unclassified Candidatus Thorarchaeota,13,0.00
Bem_09,D1,DPANN group,43,0.00
Bem_09,P,Candidatus Woesearchaeota,20,0.00
Bem_09,P1,unclassified Candidatus Woesearchaeota,18,0.00
Bem_09,P1,environmental samples,2,0.00
Bem_09,P,Candidatus Aenigmatarchaeota,15,0.00
Bem_09,P1,unclassified Candidatus Aenigmatarchaeota,15,0.00
Bem_09,P,Candidatus Diapherotrites,7,0.00
Bem_09,P1,unclassified Candidatus Diapherotrites,7,0.00
Bem_09,P,Candidatus Micrarchaeota,1,0.00
Bem_09,P1,unclassified Candidatus Micrarchaeota,1,0.00
Bem_09,D1,unclassified Archaea,21,0.00
Bem_18,U,unclassified,22694038,94.64
Bem_18,R,root,1285881,5.36
Bem_18,R1,cellular organisms,1285881,5.36
Bem_18,D,Bacteria,999146,4.17
Bem_18,P,Pseudomonadota,733677,3.06
Bem_18,P1,unclassified Pseudomonadota,5877,0.02
Bem_18,P1,environmental samples,653,0.00
Bem_18,D1,Terrabacteria group,52793,0.22
Bem_18,P,Actinomycetota,34051,0.14
Bem_18,P1,unclassified Actinomycetota,1955,0.01
Bem_18,P,Bacillota,9709,0.04
Bem_18,P1,unclassified Bacillota,2,0.00
Bem_18,P,Chloroflexota,4212,0.02
Bem_18,P1,unclassified Chloroflexota,632,0.00
Bem_18,P1,environmental samples,1,0.00
Bem_18,P,Deinococcota,1635,0.01
Bem_18,D2,Cyanobacteriota/Melainabacteria group,908,0.00
Bem_18,P,Cyanobacteriota,844,0.00
Bem_18,P,Candidatus Melainabacteria,64,0.00
Bem_18,P1,unclassified Candidatus Melainabacteria,64,0.00
Bem_18,P,Armatimonadota,895,0.00
Bem_18,P1,unclassified Armatimonadota,895,0.00
Bem_18,P,Mycoplasmatota,135,0.00
Bem_18,P1,unclassified Mycoplasmatota,101,0.00
Bem_18,P,Nitrospirota,39057,0.16
Bem_18,P1,unclassified Nitrospirota,32150,0.13
Bem_18,D1,FCB group,33316,0.14
Bem_18,D2,Bacteroidota/Chlorobiota group,21206,0.09
Bem_18,P,Bacteroidota,19099,0.08
Bem_18,P1,unclassified Bacteroidota,563,0.00
Bem_18,P1,environmental samples,465,0.00
Bem_18,P,Ignavibacteriota,730,0.00
Bem_18,P1,unclassified Ignavibacteriota,171,0.00
Bem_18,P,Rhodothermota,694,0.00
Bem_18,P,Balneolota,347,0.00
Bem_18,P,Chlorobiota,119,0.00
Bem_18,P1,unclassified Chlorobiota,89,0.00
Bem_18,P,Gemmatimonadota,8033,0.03
Bem_18,P1,unclassified Gemmatimonadota,6593,0.03
Bem_18,P1,environmental samples,117,0.00
Bem_18,P,Candidatus Zixiibacteriota,1550,0.01
Bem_18,P,Candidatus Latescibacterota,1429,0.01
Bem_18,P1,unclassified Candidatus Latescibacterota,1429,0.01
Bem_18,P,Candidatus Neomarinimicrobiota,555,0.00
Bem_18,P1,unclassified Candidatus Neomarinimicrobiota,548,0.00
Bem_18,P1,environmental samples,7,0.00
Bem_18,P,Candidatus Hydrogenedentota,238,0.00
Bem_18,P1,unclassified Candidatus Hydrogenedentota,235,0.00
Bem_18,P,Thermodesulfobacteriota,30627,0.13
Bem_18,D1,PVC group,30375,0.13
Bem_18,P,Planctomycetota,27553,0.11
Bem_18,P1,unclassified Planctomycetota,2179,0.01
Bem_18,P,Verrucomicrobiota,1883,0.01
Bem_18,P1,environmental samples,143,0.00
Bem_18,P1,unclassified Verrucomicrobiota,30,0.00
Bem_18,P,Lentisphaerota,444,0.00
Bem_18,P1,unclassified Lentisphaerota,109,0.00
Bem_18,P,Candidatus Omnitrophota,204,0.00
Bem_18,P1,unclassified Candidatus Omnitrophota,204,0.00
Bem_18,P,Kiritimatiellota,112,0.00
Bem_18,P1,unclassified Kiritimatiellota,1,0.00
Bem_18,P,Chlamydiota,58,0.00
Bem_18,P,Myxococcota,19796,0.08
Bem_18,P1,Polyangia,6209,0.03
Bem_18,P,Acidobacteriota,7703,0.03
Bem_18,P1,unclassified Acidobacteriota,3789,0.02
Bem_18,D1,Bacteria incertae sedis,3126,0.01
Bem_18,D2,Bacteria candidate phyla,3126,0.01
Bem_18,D3,Patescibacteria group,675,0.00
Bem_18,D4,Parcubacteria group,610,0.00
Bem_18,P,Candidatus Moraniibacteriota,192,0.00
Bem_18,P1,unclassified Candidatus Moraniibacteriota,192,0.00
Bem_18,P,Candidatus Nomurabacteria,167,0.00
Bem_18,P1,unclassified Candidatus Nomurabacteria,167,0.00
Bem_18,P,Candidatus Kaiserbacteria,69,0.00
Bem_18,P1,unclassified Candidatus Kaiserbacteria,69,0.00
Bem_18,P,Candidatus Falkowbacteria,43,0.00
Bem_18,P1,unclassified Candidatus Falkowbacteria,43,0.00
Bem_18,P,Candidatus Uhrbacteria,43,0.00
Bem_18,P1,unclassified Candidatus Uhrbacteria,43,0.00
Bem_18,P,Candidatus Nealsonbacteria,39,0.00
Bem_18,P1,unclassified Candidatus Nealsonbacteria,5,0.00
Bem_18,P,Candidatus Parcubacteria,29,0.00
Bem_18,P1,unclassified Candidatus Parcubacteria,29,0.00
Bem_18,P,Candidatus Campbellbacteria,15,0.00
Bem_18,P1,unclassified Candidatus Campbellbacteria,15,0.00
Bem_18,D4,Microgenomates group,33,0.00
Bem_18,P,Candidatus Woesebacteria,33,0.00
Bem_18,P1,unclassified Candidatus Woesebacteria,33,0.00
Bem_18,D4,unclassified Patescibacteria group,22,0.00
Bem_18,P,Candidatus Gracilibacteria,5,0.00
Bem_18,P1,unclassified Candidatus Gracilibacteria,5,0.00
Bem_18,P,candidate division WOR-3,612,0.00
Bem_18,P,Candidatus Aminicenantes,495,0.00
Bem_18,P1,unclassified Candidatus Aminicenantes,495,0.00
Bem_18,P,Candidatus Coatesbacteria,372,0.00
Bem_18,P1,unclassified Candidatus Coatesbacteria,372,0.00
Bem_18,P,Candidatus Saccharibacteria,260,0.00
Bem_18,P1,unclassified Candidatus Saccharibacteria,260,0.00
Bem_18,P,Candidatus Peregrinibacteria,255,0.00
Bem_18,P1,unclassified Candidatus Peregrinibacteria,108,0.00
Bem_18,P,Candidatus Eisenbacteria,211,0.00
Bem_18,P1,unclassified Candidatus Eisenbacteria,211,0.00
Bem_18,P,Candidatus Bipolaricaulota,149,0.00
Bem_18,P1,unclassified Candidatus Bipolaricaulota,149,0.00
Bem_18,D3,Candidatus Dojkabacteria,46,0.00
Bem_18,P,Candidatus Poribacteria,2,0.00
Bem_18,P1,environmental samples,2,0.00
Bem_18,D1,unclassified Bacteria,2150,0.01
Bem_18,D1,Nitrospinae/Tectomicrobia group,2004,0.01
Bem_18,P,Nitrospinota,2000,0.01
Bem_18,P,Candidatus Tectomicrobia,4,0.00
Bem_18,D1,delta/epsilon subdivisions,1617,0.01
Bem_18,P,Campylobacterota,712,0.00
Bem_18,P,Elusimicrobiota,711,0.00
Bem_18,P1,unclassified Elusimicrobiota,711,0.00
Bem_18,P,Spirochaetota,584,0.00
Bem_18,P1,unclassified Spirochaetota,80,0.00
Bem_18,P,Synergistota,369,0.00
Bem_18,P1,unclassified Synergistota,369,0.00
Bem_18,P,Calditrichota,249,0.00
Bem_18,P,Bdellovibrionota,137,0.00
Bem_18,P,Aquificota,65,0.00
Bem_18,P1,unclassified Aquificota,47,0.00
Bem_18,D1,environmental samples,60,0.00
Bem_18,P,Thermotogota,29,0.00
Bem_18,P,Fusobacteriota,8,0.00
Bem_18,D,Archaea,285420,1.19
Bem_18,D1,TACK group,283822,1.18
Bem_18,P,Nitrososphaerota,283599,1.18
Bem_18,P1,Nitrososphaerota incertae sedis,13728,0.06
Bem_18,P2,Marine Group I,11665,0.05
Bem_18,P3,environmental samples,198,0.00
Bem_18,P,Candidatus Bathyarchaeota,195,0.00
Bem_18,P1,unclassified Candidatus Bathyarchaeota,194,0.00
Bem_18,P,Thermoproteota,6,0.00
Bem_18,P,Euryarchaeota,1166,0.00
Bem_18,P1,Stenosarchaea group,1090,0.00
Bem_18,P1,unclassified Euryarchaeota,29,0.00
Bem_18,P1,Methanomada group,4,0.00
Bem_18,P,Candidatus Thermoplasmatota,226,0.00
Bem_18,P1,DHVE2 group,8,0.00
Bem_18,D1,Asgard group,90,0.00
Bem_18,P,Candidatus Lokiarchaeota,37,0.00
Bem_18,P1,unclassified Candidatus Lokiarchaeota,37,0.00
Bem_18,P,Candidatus Thorarchaeota,28,0.00
Bem_18,P1,unclassified Candidatus Thorarchaeota,28,0.00
Bem_18,P,Candidatus Heimdallarchaeota,25,0.00
Bem_18,P1,unclassified Candidatus Heimdallarchaeota,25,0.00
Bem_18,D1,DPANN group,37,0.00
Bem_18,P,Candidatus Aenigmatarchaeota,17,0.00
Bem_18,P1,unclassified Candidatus Aenigmatarchaeota,17,0.00
Bem_18,P,Candidatus Woesearchaeota,13,0.00
Bem_18,P1,unclassified Candidatus Woesearchaeota,12,0.00
Bem_18,P1,environmental samples,1,0.00
Bem_18,P,Candidatus Diapherotrites,6,0.00
Bem_18,P1,unclassified Candidatus Diapherotrites,6,0.00
Bem_18,P,Candidatus Micrarchaeota,1,0.00
Bem_18,P1,unclassified Candidatus Micrarchaeota,1,0.00
Bem_18,D1,unclassified Archaea,21,0.00
Bem_35,U,unclassified,25778178,95.52
Bem_35,R,root,1209410,4.48
Bem_35,R1,cellular organisms,1209410,4.48
Bem_35,D,Bacteria,988722,3.66
Bem_35,P,Pseudomonadota,695279,2.58
Bem_35,P1,unclassified Pseudomonadota,5758,0.02
Bem_35,P1,environmental samples,620,0.00
Bem_35,P,Nitrospirota,66458,0.25
Bem_35,P1,unclassified Nitrospirota,57027,0.21
Bem_35,D1,Terrabacteria group,61865,0.23
Bem_35,P,Actinomycetota,41600,0.15
Bem_35,P1,unclassified Actinomycetota,2619,0.01
Bem_35,P,Bacillota,10455,0.04
Bem_35,P1,unclassified Bacillota,3,0.00
Bem_35,P,Chloroflexota,4472,0.02
Bem_35,P1,unclassified Chloroflexota,697,0.00
Bem_35,P,Deinococcota,1873,0.01
Bem_35,P,Armatimonadota,1068,0.00
Bem_35,P1,unclassified Armatimonadota,1068,0.00
Bem_35,D2,Cyanobacteriota/Melainabacteria group,993,0.00
Bem_35,P,Cyanobacteriota,905,0.00
Bem_35,P,Candidatus Melainabacteria,85,0.00
Bem_35,P1,unclassified Candidatus Melainabacteria,85,0.00
Bem_35,P,Mycoplasmatota,131,0.00
Bem_35,P1,unclassified Mycoplasmatota,107,0.00
Bem_35,D1,FCB group,35238,0.13
Bem_35,D2,Bacteroidota/Chlorobiota group,21553,0.08
Bem_35,P,Bacteroidota,19531,0.07
Bem_35,P1,environmental samples,769,0.00
Bem_35,P1,unclassified Bacteroidota,647,0.00
Bem_35,P,Rhodothermota,772,0.00
Bem_35,P,Ignavibacteriota,609,0.00
Bem_35,P1,unclassified Ignavibacteriota,125,0.00
Bem_35,P,Balneolota,298,0.00
Bem_35,P,Chlorobiota,122,0.00
Bem_35,P1,unclassified Chlorobiota,89,0.00
Bem_35,P,Gemmatimonadota,9540,0.04
Bem_35,P1,unclassified Gemmatimonadota,7712,0.03
Bem_35,P1,environmental samples,172,0.00
